1  number of sets, Nset
 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
#1	user_mads generated blade	
r                m        x_cg       y_cg         ri_x       ri_y        K_11      K_12			K_13			K_14			K_15			K_16      K_22			K_23			K_24			K_25			K_26        K_33			K_34			K_35			K_36			K_44			K_45			K_46			K_55			K_56			K_66
5.4005202761628e+01 3.1026533517100e+02 5.0218572499800e-01 2.8589319549100e-02 3.9249729135839e-01 1.0536379160541e+00 3.3890729767100e+08 -7.7180900885600e+06 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 4.7712400555600e-04 2.0867884484100e+08 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -2.0316243171700e-04 5.0072445443300e+09 -1.7859894235800e+08 1.4531598459400e+09 0.0000000000000e+00 8.9338353439300e+08 1.3809963912500e+07 0.0000000000000e+00 3.9598384234700e+09 0.0000000000000e+00 1.7482241011500e+08
5.5726840829812e+01 2.9165904364400e+02 4.9635275921000e-01 2.7964639250800e-02 3.7718330227057e-01 1.0153078817208e+00 3.1367040160600e+08 -6.1606101139100e+06 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 1.7069280147600e-05 1.9883357640900e+08 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -3.7473440170300e-04 4.7378625781200e+09 -1.6552528464400e+08 1.3084030811900e+09 0.0000000000000e+00 7.7844577338300e+08 5.5413411514600e+06 0.0000000000000e+00 3.4100271185100e+09 0.0000000000000e+00 1.5236389427700e+08
5.7450398017793e+01 2.7243473325400e+02 4.8156679034700e-01 2.7315634329600e-02 3.6268597799784e-01 9.7412555902097e-01 2.9934141479900e+08 -4.9090978045800e+06 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -3.3475458622000e-04 1.8559332588800e+08 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 3.4937262535100e-04 4.4506639242000e+09 -1.4938551612600e+08 1.1498089689400e+09 0.0000000000000e+00 6.7421276221900e+08 1.7547032844300e+06 0.0000000000000e+00 2.9120892493500e+09 0.0000000000000e+00 1.3257109831500e+08
5.9175850204161e+01 2.5694592690800e+02 4.5934223614900e-01 2.6688187542400e-02 3.4751241890435e-01 9.3619745978630e-01 2.8779088187800e+08 -3.8563099222600e+06 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.2735819220500e-04 1.7410072420400e+08 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 1.4233589172400e-04 4.1845002237100e+09 -1.3235617303300e+08 1.0411022175800e+09 0.0000000000000e+00 5.8290872284700e+08 -5.6724863419400e+05 0.0000000000000e+00 2.5296377764100e+09 0.0000000000000e+00 1.1651668317300e+08
6.0903101052748e+01 2.3777256312600e+02 4.4969467876000e-01 2.5464181789900e-02 3.3525249644811e-01 8.9804789166685e-01 2.6494555217700e+08 -2.7813464078300e+06 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 5.7168677449200e-04 1.6309677234400e+08 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -7.8693032264700e-05 3.9019790270800e+09 -1.2006015393600e+08 9.2051298198100e+08 0.0000000000000e+00 5.0363469427300e+08 -3.6334508608800e+06 0.0000000000000e+00 2.1386008558600e+09 0.0000000000000e+00 1.0138470874900e+08
6.2571826574163e+01 2.2176805105400e+02 4.2558749273800e-01 2.4653378661300e-02 3.2189124152078e-01 8.6298557196827e-01 2.5404872349300e+08 -2.0458196613700e+06 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -2.9771216213700e-04 1.5313008868700e+08 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -1.8030405044600e-05 3.6347332563500e+09 -1.0554206151800e+08 8.3375419051500e+08 0.0000000000000e+00 4.3255121800900e+08 -4.3117071271200e+06 0.0000000000000e+00 1.8574956125900e+09 0.0000000000000e+00 8.9163504266300e+07
6.4305286960374e+01 2.0315356776300e+02 4.0560176203500e-01 2.3563817743000e-02 3.0895468084706e-01 8.2350791656111e-01 2.4010758580900e+08 -1.3959383296100e+06 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -6.2528997659700e-06 1.4533623271100e+08 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -5.2064657211300e-05 3.3365924057100e+09 -9.1731847553500e+07 7.1769687466200e+08 0.0000000000000e+00 3.6597968529900e+08 -4.1810235740400e+06 0.0000000000000e+00 1.5472509001900e+09 0.0000000000000e+00 7.7008956498500e+07
6.6042022657430e+01 1.8677036934100e+02 3.8383013473900e-01 2.2588077085700e-02 2.9548054674609e-01 7.9040004045296e-01 2.2001235788400e+08 -6.8979990637300e+05 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -2.0898878574400e-04 1.3548643707500e+08 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 3.4505128860500e-04 3.0497411845800e+09 -8.0622220387200e+07 6.4530183366100e+08 0.0000000000000e+00 3.0705084529100e+08 -5.0538641761200e+06 0.0000000000000e+00 1.3209398992300e+09 0.0000000000000e+00 6.5622465028800e+07
6.7782963206487e+01 1.7165818041900e+02 3.5888648203900e-01 2.1800927367500e-02 2.8196237458855e-01 7.5600091833173e-01 2.0943152926400e+08 -2.6606145846500e+05 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.5579705834400e-05 1.2631602051800e+08 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -1.7184019088700e-04 2.7764369970200e+09 -6.8022050971600e+07 5.7097474466600e+08 0.0000000000000e+00 2.5573135827300e+08 -4.3745040171400e+06 0.0000000000000e+00 1.1149292518300e+09 0.0000000000000e+00 5.6727885609000e+07
6.9591741670191e+01 1.5375420083500e+02 3.4739896300000e-01 2.0574344884900e-02 2.6973394772112e-01 7.2301428245634e-01 1.9042859519700e+08 2.4773127490300e+05 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.4831853807000e-05 1.1716614468800e+08 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -1.3838708400700e-04 2.4885739198100e+09 -5.8122498530100e+07 4.9107693939400e+08 0.0000000000000e+00 2.0965281083000e+08 -4.3517392201400e+06 0.0000000000000e+00 9.1184732987200e+08 0.0000000000000e+00 4.7991216422000e+07
7.1343523659958e+01 1.4005256088900e+02 3.2048834787300e-01 1.9861288245000e-02 2.5706279712371e-01 6.8958919044627e-01 1.8127162372600e+08 5.2252017917600e+05 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 6.9389119744300e-05 1.0907746054200e+08 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -2.2917985916100e-05 2.2434689768100e+09 -4.8040622439000e+07 4.3291825376100e+08 0.0000000000000e+00 1.7212282075200e+08 -3.4479632415000e+06 0.0000000000000e+00 7.6849427715700e+08 0.0000000000000e+00 4.1471935405600e+07
7.3100814864349e+01 1.2434859054700e+02 3.0339106246200e-01 1.9060649331100e-02 2.4588752666929e-01 6.5718570106198e-01 1.7486014182300e+08 5.6870680055200e+05 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -6.8232417106600e-05 9.8845148935100e+07 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 1.2665987014800e-06 1.9812178823200e+09 -4.0460590827500e+07 3.6946236014900e+08 0.0000000000000e+00 1.3898387888400e+08 -3.1950899494300e+06 0.0000000000000e+00 6.2282635141900e+08 0.0000000000000e+00 3.5678009156000e+07
